full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,125025,125025,20553,70,70,9,https://github.com/anthropics/claude-code
claude-code-best/claude-code,18521,18521,15865,19,19,1,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2152,2152,5880,1,1,4,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3255,3255,4588,6,6,4,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,61404,61404,10043,45,45,10,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2663,2663,3335,3,3,1,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9215,9215,14638,0,0,0,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1715,1715,2529,0,0,-1,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1371,1371,2353,1,1,2,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,84,84,7283,1,1,1,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,44289,44289,3799,25,25,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,53874,53874,5396,31,31,7,https://github.com/shanraisshan/claude-code-best-practice
Alishahryar1/free-claude-code,26428,26428,3936,205,205,23,https://github.com/Alishahryar1/free-claude-code
musistudio/claude-code-router,34159,34159,2784,11,11,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27423,27423,2805,11,11,1,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,846,846,1193,0,0,2,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,180,180,2277,0,0,0,https://github.com/Onewon/claude-code
Donchitos/Claude-Code-Game-Studios,19306,19306,2820,30,30,3,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3143,3143,3794,1,1,0,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,20156,20156,2332,24,24,2,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2240,2240,3501,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7651,7651,1842,1,1,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10339,10339,1825,6,6,1,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2606,2606,1658,3,3,1,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9650,9650,1225,1,1,1,https://github.com/diet103/claude-code-infrastructure-showcase
T-Lab-CUHKSZ/claude-code,311,311,606,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
frankbria/ralph-claude-code,9170,9170,698,4,4,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8368,8368,630,5,5,1,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,1112,1112,2295,0,0,2,https://github.com/pedrohcgs/claude-code-my-workflow
hangsman/claude-code-source,780,780,1748,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2471,2471,2310,0,0,0,https://github.com/chauncygu/collection-claude-code-source-code
affaan-m/ECC,187248,187248,28997,127,127,23,https://github.com/affaan-m/ECC
lintsinghua/claude-code-book,3331,3331,719,0,0,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5906,5906,557,2,2,2,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,588,588,1306,2,2,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3804,3804,560,0,0,0,https://github.com/OneRedOak/claude-code-workflows
alex000kim/claude-code,227,227,328,0,0,0,https://github.com/alex000kim/claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,10077,10077,966,19,19,4,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
1rgs/claude-code-proxy,3589,3589,467,0,0,0,https://github.com/1rgs/claude-code-proxy
xorespesp/claude-code,224,224,315,0,0,0,https://github.com/xorespesp/claude-code
lorryjovens-hub/claude-code-rust,1595,1595,629,1,1,0,https://github.com/lorryjovens-hub/claude-code-rust
nicedreamzapp/claude-code-local,2642,2642,511,4,4,0,https://github.com/nicedreamzapp/claude-code-local
FlorianBruniaux/claude-code-ultimate-guide,4419,4419,582,2,2,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
zebbern/claude-code-guide,4144,4144,406,1,1,0,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,3689,3689,615,0,0,1,https://github.com/disler/claude-code-hooks-mastery
VineeTagarwaL-code/claude-code,275,275,268,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
777genius/claude-code-source-code,913,913,1110,0,0,0,https://github.com/777genius/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8015,8015,405,5,5,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
anthropics/claude-code-security-review,4656,4656,456,5,5,1,https://github.com/anthropics/claude-code-security-review
kodu-ai/claude-coder,5278,5278,201,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2366,2366,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2607,2607,382,3,3,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2607,2607,383,2,2,0,https://github.com/RichardAtCT/claude-code-telegram
freestylefly/claude-code,125,125,298,0,0,0,https://github.com/freestylefly/claude-code
Windy3f3f3f3f/how-claude-code-works,2400,2400,573,2,2,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
multica-ai/andrej-karpathy-skills,138294,138294,14189,563,563,75,https://github.com/multica-ai/andrej-karpathy-skills
chiragjoshi12/claude-code,203,203,235,0,0,0,https://github.com/chiragjoshi12/claude-code
anthropics/skills,137688,137688,16246,112,112,13,https://github.com/anthropics/skills
alejandrobalderas/claude-code-from-source,1945,1945,587,4,4,1,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2877,2877,323,0,0,2,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,216,216,212,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2758,2758,307,0,0,0,https://github.com/Cranot/claude-code-guide
rohitg00/awesome-claude-code-toolkit,1738,1738,546,2,2,0,https://github.com/rohitg00/awesome-claude-code-toolkit
mehmoodosman/claude-code,169,169,216,0,0,0,https://github.com/mehmoodosman/claude-code
isboyjc/claude-code,156,156,218,0,0,0,https://github.com/isboyjc/claude-code
SeemSeam/claude_codex_bridge,2717,2717,268,1,1,1,https://github.com/SeemSeam/claude_codex_bridge
luyao618/Claude-Code-Source-Study,1392,1392,510,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
AprilNEA/claude-code-source,383,383,616,0,0,1,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,841,841,605,0,0,1,https://github.com/anthropics/claude-code-base-action
https-deeplearning-ai/sc-claude-code-files,514,514,738,1,1,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
sickn33/antigravity-awesome-skills,38059,38059,6218,36,36,2,https://github.com/sickn33/antigravity-awesome-skills
repowise-dev/claude-code-prompts,1016,1016,365,0,0,0,https://github.com/repowise-dev/claude-code-prompts
guanshan/ClaudeCode,59,59,213,0,0,0,https://github.com/guanshan/ClaudeCode
