full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,120461,120461,19958,67,67,5,https://github.com/anthropics/claude-code
claude-code-best/claude-code,17514,17514,15624,18,18,4,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,173494,173494,26879,166,166,20,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2115,2115,5837,2,2,1,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3007,3007,4393,5,5,2,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,58116,58116,9531,50,50,5,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2442,2442,3206,3,3,2,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9085,9085,14582,3,3,2,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1610,1610,2461,-1,-1,0,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1290,1290,2274,2,2,0,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,73,73,7300,0,0,0,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,42544,42544,3604,39,39,5,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,51018,51018,5077,53,53,8,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,33442,33442,2704,9,9,2,https://github.com/musistudio/claude-code-router
Alishahryar1/free-claude-code,21343,21343,3078,97,97,13,https://github.com/Alishahryar1/free-claude-code
davila7/claude-code-templates,26722,26722,2691,10,10,5,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,807,807,1159,1,1,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,179,179,2276,0,0,0,https://github.com/Onewon/claude-code
oboard/claude-code-rev,3092,3092,3777,0,0,0,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,17248,17248,2517,44,44,10,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,19103,19103,2212,18,18,2,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2218,2218,3500,1,1,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7421,7421,1789,3,3,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,9912,9912,1768,11,11,5,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2199,2199,1522,4,4,1,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9613,9613,1220,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
T-Lab-CUHKSZ/claude-code,308,308,599,0,0,1,https://github.com/T-Lab-CUHKSZ/claude-code
frankbria/ralph-claude-code,9007,9007,679,5,5,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8098,8098,605,2,2,0,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,766,766,1746,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2374,2374,2273,3,3,1,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,1040,1040,2130,1,1,3,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5870,5870,547,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,3086,3086,690,3,3,0,https://github.com/lintsinghua/claude-code-book
huangserva/claude-code-cli,571,571,1297,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3792,3792,556,0,0,0,https://github.com/OneRedOak/claude-code-workflows
alex000kim/claude-code,223,223,324,1,1,0,https://github.com/alex000kim/claude-code
1rgs/claude-code-proxy,3540,3540,460,1,1,1,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1527,1527,612,1,1,0,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4079,4079,400,1,1,0,https://github.com/zebbern/claude-code-guide
xorespesp/claude-code,222,222,309,0,0,1,https://github.com/xorespesp/claude-code
anthropics/skills,128228,128228,15084,115,115,16,https://github.com/anthropics/skills
nicedreamzapp/claude-code-local,2456,2456,479,3,3,1,https://github.com/nicedreamzapp/claude-code-local
777genius/claude-code-source-code,906,906,1115,0,0,0,https://github.com/777genius/claude-code-source-code
VineeTagarwaL-code/claude-code,274,274,268,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
disler/claude-code-hooks-mastery,3626,3626,609,1,1,0,https://github.com/disler/claude-code-hooks-mastery
FlorianBruniaux/claude-code-ultimate-guide,4164,4164,550,8,8,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7908,7908,398,7,7,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,8040,8040,755,14,14,2,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
kodu-ai/claude-coder,5278,5278,200,1,1,0,https://github.com/kodu-ai/claude-coder
forrestchang/andrej-karpathy-skills,112329,112329,11219,613,613,60,https://github.com/forrestchang/andrej-karpathy-skills
Yuyz0112/claude-code-reverse,2359,2359,404,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
anthropics/claude-code-security-review,4492,4492,421,2,2,0,https://github.com/anthropics/claude-code-security-review
fuergaosi233/claude-code-proxy,2555,2555,362,4,4,0,https://github.com/fuergaosi233/claude-code-proxy
freestylefly/claude-code,124,124,297,0,0,0,https://github.com/freestylefly/claude-code
RichardAtCT/claude-code-telegram,2529,2529,357,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
chiragjoshi12/claude-code,195,195,233,0,0,0,https://github.com/chiragjoshi12/claude-code
Windy3f3f3f3f/how-claude-code-works,2086,2086,528,2,2,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
ding113/claude-code-hub,2742,2742,314,2,2,1,https://github.com/ding113/claude-code-hub
alejandrobalderas/claude-code-from-source,1879,1879,570,4,4,1,https://github.com/alejandrobalderas/claude-code-from-source
fazxes/Claude-code,212,212,210,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2640,2640,289,1,1,0,https://github.com/Cranot/claude-code-guide
sickn33/antigravity-awesome-skills,36353,36353,5955,19,19,1,https://github.com/sickn33/antigravity-awesome-skills
mehmoodosman/claude-code,168,168,218,0,0,0,https://github.com/mehmoodosman/claude-code
isboyjc/claude-code,156,156,216,0,0,0,https://github.com/isboyjc/claude-code
AprilNEA/claude-code-source,377,377,616,0,0,1,https://github.com/AprilNEA/claude-code-source
rohitg00/awesome-claude-code-toolkit,1544,1544,469,1,1,0,https://github.com/rohitg00/awesome-claude-code-toolkit
anthropics/claude-code-base-action,805,805,601,0,0,-1,https://github.com/anthropics/claude-code-base-action
luyao618/Claude-Code-Source-Study,1293,1293,494,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
repowise-dev/claude-code-prompts,991,991,363,0,0,0,https://github.com/repowise-dev/claude-code-prompts
luongnv89/claude-howto,31150,31150,3824,39,39,4,https://github.com/luongnv89/claude-howto
https-deeplearning-ai/sc-claude-code-files,504,504,705,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
guanshan/ClaudeCode,57,57,215,0,0,0,https://github.com/guanshan/ClaudeCode
bfly123/claude_codex_bridge,2476,2476,237,3,3,0,https://github.com/bfly123/claude_codex_bridge
JrCx7scC/claude-code-source,365,365,538,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1417,1417,283,0,0,0,https://github.com/edmund-io/edmunds-claude-code
qwibitai/nanoclaw,28581,28581,12765,6,6,6,https://github.com/qwibitai/nanoclaw
Pimzino/claude-code-spec-workflow,3708,3708,261,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,32532,32532,3015,17,17,1,https://github.com/Yeachan-Heo/oh-my-claudecode
lowcortisolprogrammer/claude-code,173,173,162,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
snarktank/ralph,18474,18474,1830,17,17,0,https://github.com/snarktank/ralph
alirezarezvani/claude-skills,13755,13755,1843,28,28,3,https://github.com/alirezarezvani/claude-skills
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3647,3647,699,5,5,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
AICoderTudou/claude-code-tudou,497,497,401,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
carlvellotti/claude-code-pm-course,1954,1954,309,0,0,1,https://github.com/carlvellotti/claude-code-pm-course
router-for-me/CLIProxyAPI,30636,30636,5110,52,52,11,https://github.com/router-for-me/CLIProxyAPI
wshobson/agents,34780,34780,3786,25,25,0,https://github.com/wshobson/agents
ghuntley/claude-code-source-code-deobfuscation,974,974,554,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
andrew-kramer-inno/claude-code-source-build,584,584,518,1,1,0,https://github.com/andrew-kramer-inno/claude-code-source-build
anthropics/claude-plugins-official,18564,18564,2259,14,14,1,https://github.com/anthropics/claude-plugins-official
Windy3f3f3f3f/claude-code-from-scratch,1081,1081,347,5,5,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
feiskyer/claude-code-settings,1485,1485,218,2,2,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1072,1072,240,0,0,0,https://github.com/sugyan/claude-code-webui
Hyper66666/claude-code-sourcemap,213,213,460,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,681,681,61,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
eyaltoledano/claude-task-master,26991,26991,2519,6,6,0,https://github.com/eyaltoledano/claude-task-master
centminmod/my-claude-code-setup,2255,2255,217,1,1,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1558,1558,250,1,1,0,https://github.com/lst97/claude-code-sub-agents
siteboon/claudecodeui,10540,10540,1417,7,7,4,https://github.com/siteboon/claudecodeui
